ANO_SEMANA,NOTIFICACOES,idade_anos,atraso_notificacao_dias,sexo_masc,sexo_fem,gestante,hospitalizado,obito_agravo,obito_outras_causas,criterio_lab,criterio_clinico_epi,criterio_clinico,caso_confirmado_provavel,caso_descartado,caso_inconclusivo,caso_dengue_alarme,caso_dengue_grave,caso_chikungunya,raca_branca,raca_preta,raca_amarela,raca_parda,raca_indigena,febre_flag,mialgia_flag,cefaleia_flag,exantema_flag,vomito_flag,nausea_flag,dor_costas_flag,conjuntvit_flag,artrite_flag,artralgia_flag,petequia_n_flag,leucopenia_flag,laco_flag,dor_retro_flag,diabetes_flag,hematolog_flag,hepatopat_flag,renal_flag,hipertensa_flag,acido_pept_flag,auto_imune_flag,alrm_hipot_flag,alrm_plaq_flag,alrm_vom_flag,alrm_sang_flag,alrm_hemat_flag,alrm_abdom_flag,alrm_letar_flag,alrm_hepat_flag,alrm_liq_flag,grav_pulso_flag,grav_conv_flag,grav_ench_flag,grav_insuf_flag,grav_taqui_flag,grav_extre_flag,grav_hipot_flag,grav_hemat_flag,grav_melen_flag,grav_metro_flag,grav_sang_flag,grav_ast_flag,grav_mioc_flag,grav_consc_flag,grav_orgao_flag,mani_hemor_flag,epistaxe_flag,gengivo_flag,metro_flag,petequias_flag,hematura_flag,sangram_flag,laco_n_flag,plasmatico_flag,evidencia_flag,plaq_menor_flag,con_fhd_flag,ANO_EPI,SEMANA_EPI,dt_sin_pri_min,dt_sin_pri_max,week_start,cluster_intensity_id,cluster_intensity_label,cluster_profile_id,cluster_profile_label,inmet_days,rain_sum,rain_mean,temp_mean,temp_min,temp_max,humidity_mean,pressure_mean,wind_speed_mean,temp_range,rain_nonzero_days
202201,776,36.28866685496399,7.217783505154639,0.4368556701030928,0.5631443298969072,0.0167525773195876,0.086848635235732,0.0,0.0034364261168384,0.9020771513353116,0.0964391691394658,0.0014836795252225,0.8685567010309279,0.0,0.1314432989690721,0.0231958762886597,0.0012886597938144,0.0,0.0747422680412371,0.018041237113402,0.0077319587628865,0.3775773195876288,0.0012886597938144,0.6486111111111111,0.6069444444444444,0.5708333333333333,0.0805555555555555,0.1777777777777777,0.2388888888888889,0.1375,0.0138888888888888,0.0388888888888888,0.1097222222222222,0.0569444444444444,0.075,0.0069444444444444,0.1972222222222222,0.0305555555555555,0.0041666666666666,0.0041666666666666,0.0027777777777777,0.0625,0.0083333333333333,0.0055555555555555,0.0526315789473684,0.6842105263157895,0.1052631578947368,0.1578947368421052,0.0,0.3157894736842105,0.0526315789473684,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,2022,1,2022-01-02,2022-01-08,2022-01-02,0,baixa_transmissao,2,perfil_agudo,7,56.8,8.114285714285714,20.70357142857143,17.5,27.8,85.39285714285714,883.9178571428572,2.7404761904761905,10.3,6
202202,820,36.17510830827487,10.146341463414634,0.4804878048780487,0.5195121951219512,0.0146520146520146,0.1315068493150684,0.0,0.0066115702479338,0.9236311239193083,0.0763688760806916,0.0,0.8414634146341463,0.0,0.1585365853658536,0.0280487804878048,0.0,0.0,0.0670731707317073,0.0256097560975609,0.0085365853658536,0.4085365853658536,0.0012195121951219,0.6946564885496184,0.6361323155216285,0.6030534351145038,0.0966921119592875,0.1972010178117048,0.2659033078880407,0.1552162849872773,0.0216284987277353,0.0330788804071246,0.1552162849872773,0.0610687022900763,0.1005089058524173,0.0038167938931297,0.2302798982188295,0.0254452926208651,0.0,0.0076335877862595,0.0038167938931297,0.0763358778625954,0.0038167938931297,0.0063613231552162,0.1153846153846153,0.6538461538461539,0.1538461538461538,0.2307692307692307,0.0769230769230769,0.3076923076923077,0.0,0.0,0.1153846153846153,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2022,2,2022-01-09,2022-01-15,2022-01-09,0,baixa_transmissao,2,perfil_agudo,7,40.0,5.714285714285714,20.501785714285713,15.8,29.0,81.79166666666666,886.7303571428571,2.8232142857142857,13.2,5
202203,990,36.64419745399197,7.915151515151515,0.4424242424242424,0.5575757575757576,0.0161943319838056,0.1365546218487394,0.0014367816091954,0.0014367816091954,0.9095295536791316,0.0904704463208685,0.0,0.8343434343434344,0.0,0.1656565656565656,0.0272727272727272,0.003030303030303,0.0,0.0838383838383838,0.0343434343434343,0.007070707070707,0.3747474747474748,0.001010101010101,0.69593147751606,0.6370449678800857,0.6124197002141327,0.101713062098501,0.1895074946466809,0.2494646680942184,0.15203426124197,0.0160599571734475,0.0438972162740899,0.1670235546038544,0.0535331905781584,0.1070663811563169,0.0074946466809421,0.2098501070663811,0.0449678800856531,0.006423982869379,0.0085653104925053,0.0021413276231263,0.0653104925053533,0.0085653104925053,0.0021413276231263,0.032258064516129,0.5483870967741935,0.1612903225806451,0.3225806451612903,0.0,0.4193548387096774,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2022,3,2022-01-16,2022-01-22,2022-01-16,0,baixa_transmissao,2,perfil_agudo,7,7.0,1.0,22.90952380952381,15.9,29.3,63.714285714285715,887.6303571428572,1.9630952380952382,13.4,2
202204,1237,36.45535320760568,7.044462409054163,0.4478577202910266,0.5521422797089733,0.0121457489878542,0.126953125,0.0,0.0022573363431151,0.9714847590953786,0.0285152409046214,0.0,0.8205335489086499,0.0,0.17946645109135,0.01535974130962,0.0016168148746968,0.0,0.0695230396119644,0.0226354082457558,0.0105092966855295,0.3815683104284559,0.0048504446240905,0.6712564543889845,0.6230636833046471,0.5843373493975904,0.0946643717728055,0.1669535283993115,0.2461273666092943,0.1385542168674698,0.0163511187607573,0.0387263339070568,0.1359724612736661,0.0481927710843373,0.112736660929432,0.0111876075731497,0.2082616179001721,0.023235800344234,0.0034423407917383,0.0060240963855421,0.0017211703958691,0.0490533562822719,0.0077452667814113,0.0060240963855421,0.0869565217391304,0.4782608695652174,0.2608695652173913,0.3478260869565217,0.0434782608695652,0.391304347826087,0.1304347826086956,0.0434782608695652,0.1739130434782608,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2022,4,2022-01-23,2022-01-29,2022-01-23,0,baixa_transmissao,2,perfil_agudo,7,3.2,0.4571428571428572,22.077380952380953,16.6,30.1,70.92857142857143,885.2244047619048,2.369047619047619,13.5,2
202205,1411,37.59019203324175,8.924167257264351,0.4507441530829199,0.5492558469170801,0.0106307583274273,0.1265432098765432,0.0,0.0018975332068311,0.945424013434089,0.054575986565911,0.0,0.8412473423104181,0.0,0.1587526576895818,0.0120481927710843,0.0035435861091424,0.0,0.0807937632884479,0.0297661233167965,0.0099220411055988,0.3579021970233876,0.0042523033309709,0.665424739195231,0.6281669150521609,0.563338301043219,0.0842026825633383,0.1587183308494784,0.2511177347242921,0.1207153502235469,0.0171385991058122,0.0387481371087928,0.1348733233979135,0.0439642324888226,0.0961251862891207,0.0096870342771982,0.1833084947839046,0.040983606557377,0.007451564828614,0.0059612518628912,0.003725782414307,0.0722801788375558,0.0052160953800298,0.0052160953800298,0.1818181818181818,0.5909090909090909,0.0909090909090909,0.2727272727272727,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.0,0.1363636363636363,0.2,0.2,0.0,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,,,,,,,,,,,,,2022,5,2022-01-30,2022-02-05,2022-01-30,0,baixa_transmissao,2,perfil_agudo,7,63.4,9.057142857142857,21.5625,16.7,28.1,78.02380952380952,886.3392857142857,2.1541666666666663,11.400000000000002,4
202206,1671,37.26767869293262,7.180730101735488,0.4422501496110114,0.5577498503889886,0.0065986802639472,0.1048292108362779,0.0008064516129032,0.0016129032258064,0.9556962025316456,0.0436005625879043,0.0,0.8485936564931179,0.0,0.1508078994614003,0.0173548773189706,0.0023937761819269,0.0,0.0909634949132256,0.0251346499102333,0.0089766606822262,0.400359066427289,0.0011968880909634,0.6858213616489693,0.6489693941286696,0.6083697688944409,0.1024359775140537,0.1955028107432854,0.2610868207370393,0.1599000624609619,0.0118675827607745,0.0324797001873828,0.1717676452217364,0.0468457214241099,0.1255465334166146,0.0068707058088694,0.2154903185509057,0.0443472829481574,0.0037476577139287,0.0056214865708931,0.0056214865708931,0.0905683947532792,0.0062460961898813,0.0093691442848219,0.1714285714285714,0.5714285714285714,0.1142857142857142,0.3428571428571428,0.0857142857142857,0.3428571428571428,0.0857142857142857,0.0,0.0857142857142857,0.5,0.75,0.5,1.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,,,,,,,,,,,,,2022,6,2022-02-06,2022-02-12,2022-02-06,0,baixa_transmissao,2,perfil_agudo,7,34.4,4.914285714285714,20.852380952380948,17.3,26.7,80.28571428571429,885.0255952380952,2.269047619047619,9.399999999999999,6
202207,1604,35.814529600655895,5.793017456359102,0.4438902743142144,0.5561097256857855,0.008109794135995,0.1312410841654779,0.0009191176470588,0.0009191176470588,0.9506172839506172,0.0493827160493827,0.0,0.8079800498753117,0.0,0.1920199501246882,0.0149625935162094,0.0006234413965087,0.0,0.0947630922693266,0.0268079800498753,0.0081047381546134,0.4108478802992518,0.0024937655860349,0.6999343401181878,0.6736703873933026,0.6296782665791202,0.0919238345370978,0.1982928430728824,0.2954694681549573,0.1680892974392646,0.0164149704530531,0.0374261326329612,0.1332895600787918,0.0505581089954038,0.1181877872619829,0.0170715692711753,0.216677609980302,0.0433355219960604,0.0059093893630991,0.0032829940906106,0.005252790544977,0.0998030203545633,0.0072225869993434,0.0039395929087327,0.074074074074074,0.5925925925925926,0.1111111111111111,0.1481481481481481,0.037037037037037,0.4814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2022,7,2022-02-13,2022-02-19,2022-02-13,0,baixa_transmissao,2,perfil_agudo,7,98.8,14.114285714285714,20.548214285714288,17.2,27.7,83.47619047619048,885.4386904761905,2.020238095238095,10.5,6
202208,1761,36.123332529514414,6.546280522430437,0.4798409994321408,0.5201590005678591,0.0102272727272727,0.119298245614035,0.0008271298593879,0.0024813895781637,0.9628040057224606,0.0371959942775393,0.0,0.7932992617830777,0.0,0.2067007382169222,0.0147643384440658,0.0005678591709256,0.0,0.0766609880749574,0.0272572402044293,0.0085178875638841,0.4287336740488359,0.0005678591709256,0.7078313253012049,0.6692771084337349,0.6198795180722891,0.0849397590361445,0.1921686746987951,0.2674698795180723,0.1493975903614458,0.0114457831325301,0.0379518072289156,0.1542168674698795,0.0451807228915662,0.0915662650602409,0.0108433734939759,0.1927710843373494,0.0427710843373494,0.0090361445783132,0.0024096385542168,0.0024096385542168,0.0777108433734939,0.0066265060240963,0.0078313253012048,0.1428571428571428,0.6428571428571429,0.1785714285714285,0.3928571428571428,0.1785714285714285,0.2857142857142857,0.2142857142857142,0.0,0.1071428571428571,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,2022,8,2022-02-20,2022-02-26,2022-02-20,0,baixa_transmissao,2,perfil_agudo,7,40.0,5.714285714285714,21.59107142857143,16.3,28.9,77.125,887.3541666666667,1.9636904761904763,12.599999999999998,3
202209,2153,37.28337341757386,9.021365536460753,0.4259173246632605,0.57361820715281,0.0106976744186046,0.0717614165890028,0.0,0.001361470388019,0.937463810075275,0.0625361899247249,0.0,0.7998142127264283,0.0,0.2001857872735717,0.0148629818857408,0.0004644681839294,0.0,0.0989317231769623,0.0283325592196934,0.009289363678588,0.4273107292150487,0.0018578727357176,0.7491425771680549,0.699657030867222,0.6384125428711416,0.0916217540421362,0.1803037726604605,0.2974032337089662,0.1543361097501225,0.0156785889269965,0.041156295933366,0.1420872121509064,0.0524252817246447,0.1156295933365997,0.0107790298873101,0.231749142577168,0.0445859872611464,0.0088192062714355,0.005389514943655,0.0044096031357177,0.0896619304262616,0.0097991180793728,0.0063694267515923,0.1176470588235294,0.5294117647058824,0.088235294117647,0.2941176470588235,0.0294117647058823,0.4705882352941176,0.0588235294117647,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,2022,9,2022-02-27,2022-03-05,2022-02-27,0,baixa_transmissao,2,perfil_agudo,7,54.0,7.714285714285714,21.971428571428568,16.0,28.7,70.16071428571429,886.5898809523809,2.156547619047619,12.7,3
202210,2637,36.74735499209528,9.001896094046264,0.453545695866515,0.5456958665149791,0.0053211706575446,0.0876923076923077,0.0,0.00109829763866,0.9428436466698158,0.0571563533301842,0.0,0.80128934395146,0.0,0.19871065604854,0.0113765642775881,0.0003792188092529,0.0,0.0879787637466818,0.0254076602199469,0.0072051573758058,0.4444444444444444,0.0015168752370117,0.7094188376753507,0.6861723446893787,0.6392785571142284,0.0769539078156312,0.1523046092184369,0.2521042084168337,0.1338677354709418,0.0148296593186372,0.0364729458917835,0.1503006012024048,0.0444889779559118,0.1166332665330661,0.0072144288577154,0.2056112224448897,0.0416833667334669,0.0064128256513026,0.0076152304609218,0.0052104208416833,0.0829659318637274,0.0060120240480961,0.0064128256513026,0.0909090909090909,0.5757575757575758,0.3333333333333333,0.40625,0.03125,0.40625,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2022,10,2022-03-06,2022-03-12,2022-03-06,0,baixa_transmissao,2,perfil_agudo,7,27.8,3.9714285714285715,22.10238095238095,15.1,28.9,70.05357142857143,886.0541666666667,2.079761904761905,13.799999999999999,4
